日新月异	日新月异 🌞❤🌙👆
三阳开泰	三阳开泰 👌🐑🚗🌞
盲人摸象	盲人摸象 😵👦👐🐘 😲👲🙌🐘
千夫所指	千夫所指 💴👨🔒🈯 💰👰🔒👉
生龙活虎	生龙活虎 🎂🐲🔥🐯 🔊🐲🔥🐯
日日夜夜	日日夜夜 🌕🌕🌑🌑
琳琅满目	琳琅满目 🔔🐺🈵👀
七嘴八舌	七嘴八舌 7⃣👄8⃣👅 🎈💋🕗👅 🎈👄👈🐍
声色犬马	声色犬马 🎼😍🐶🐎
三从四德	三从四德 🕒🌾🕓🉐
四面楚歌	四面楚歌 🕓🍜🔍🎤
虎口余生	虎口余生 🐅👄🐳🎂
走马观花	走马观花 🚶🐴✖💐 🚶🐴👀🌸 👣🐎👀🌺
以牙还牙	以牙还牙 👕👄⭕👄
震耳欲聋	震耳欲聋 💉👂🐠🙉
以人为镜	以人为镜 👕🙎📞🔍
趾高气扬	趾高气扬 👆🎂🎈🐑 👉🍰🎈🐐
风雨凄凄	风雨凄凄 💨☔🕖🕖
赞不绝口	赞不绝口 👍🙅🚫👄
博览五车	博览五车 🍍👀5⃣🚗
博而不精	博而不精 🍍👂❌🐳
兔死狐悲	兔死狐悲 🐰4⃣🐺🍸
风行电击	风行电击 💨🚶⚡🐔
以夷制夷	以夷制夷 👕👚🍹👚 👕👚🍹👚
满面红光	满面红光 🈵🍜🔴💥
八仙过海	八仙过海 8⃣👸🏃🌊
火树银花	火树银花 🔥🎄🎼🌸
五花八门	五花八门 5⃣🌸8⃣🚪
相见恨晚	相见恨晚 📷👀😠🌌
首屈一指	首屈一指 🎅✊1⃣🈯
五光十色	五光十色 ✋✨➕😻
水木清华	水木清华 💦🌳💚🌸
三心二意	三心二意 🕒💕🕑➖
男欢女爱	男欢女爱 🚶☺💃💏
冰心一片	冰心一片 🍪❤👆♦
八方支援	八方支援 8⃣◾🍹⚪
鸡头鱼刺	鸡头鱼刺 🐔👦🐠🔪
口口声声	口口声声 👄👄🔊🔊
原封不动	原封不动 ⚪✉🙅⭕
沐猴衣冠	沐猴衣冠 🛀🐒👕🎩
刀光血影	刀光血影 🔪🌅❄👤
治病救人	治病救人 📃❄🕘🙎
前车之鉴	前车之鉴 💴🚗🍸🚀
一朝一夕	一朝一夕 👆🌞👆🌙
以观后效	以观后效 👕👀🐒😄
